bid_id,vendor_name,vendor_rank,vendor_price,price_raw,status_flag,vendor_name_clean,is_disqualified
9323261,K P N SAI INFRA PRIVATE LIMITED Under PMA,,0.0,,MSE,K P N SAI INFRA,False
9323261,Kanishk Enterprises Under PMA,,0.0,,MSE,KANISHK ENTERPRISES,False
9323261,KARMBHUMI ENGINEERING & FACILITY MANAGEMENT PRIVATE LIMITED Under PMA,,0.0,,MSE,KARMBHUMI ENGINEERING & FACILITY MANAGEMENT,False
9323261,KAYRA MANPOWER SUPPLIER Under PMA,,0.0,,MSE,KAYRA MANPOWER SUPPLIER,False
9323261,KESHWISE NEXUS PRIVATE LIMITED Under PMA,,0.0,,,KESHWISE NEXUS,False
9323261,KGM Enterprise Under PMA,,0.0,,MSE,KGM ENTERPRISE,False
9323261,KINSHIP SERVICES Under PMA,,0.0,,MSE,KINSHIP SERVICES,False
9323261,KR ASSOCIATES Under PMA,,0.0,,MSE,KR ASSOCIATES,False
9323261,KULDEEP COMMUNICATION & ELECTRONICS Under PMA,,0.0,,MSE,KULDEEP COMMUNICATION & ELECTRONICS,False
9323261,LAADU SHYAM KISHORI SECURITIES PRIVATE LIMITED Under PMA,,0.0,,MSE,LAADU SHYAM KISHORI SECURITIES,False
9323261,LAKSHYARAJ ASSOCIATES Under PMA,,0.0,,,LAKSHYARAJ ASSOCIATES,False
9323261,LEAD SALES AND SUPPLY Under PMA,,0.0,,,LEAD SALES AND SUPPLY,False
9323261,M.M. EAGLES SECURITY Under PMA,,0.0,,MSE,M.M. EAGLES SECURITY,False
9323261,M.S. ENTERPRISES Under PMA,,0.0,,MSE,M.S. ENTERPRISES,False
9323261,M/S AADITYA ENTERPRISES Under PMA,,0.0,,,M/S AADITYA ENTERPRISES,False
9323261,M/S AWADH GROUP Under PMA,,0.0,,,M/S AWADH GROUP,False
9323261,M/S BANKE BIHARI SERVICES AND MANPOWER SUPPLYAR Under PMA,,0.0,,MSE,M/S BANKE BIHARI SERVICES AND MANPOWER SUPPLYAR,False
9323261,M/S BHAGWATI SERVICES Under PMA,,0.0,,MSE,M/S BHAGWATI SERVICES,False
9323261,M/S DOLE ENTERPRISES Under PMA,,0.0,,MSE,M/S DOLE ENTERPRISES,False
9323261,M/S NIRBHIK INDIA SERVICES Under PMA,,0.0,,MSE,M/S NIRBHIK INDIA SERVICES,False
9323261,MADWA ASSOCIATES Under PMA,,0.0,,MSE,MADWA ASSOCIATES,False
9323261,MAHI IT GLOBAL INDIA PRIVATE LIMITED Under PMA,,0.0,,MSE,MAHI IT GLOBAL INDIA,False
9323261,Marg Enterprises Under PMA,,0.0,,MSE,MARG ENTERPRISES,False
9323261,MAXWELL MULTISERVICES & CONSTRUCTIONS PRIVATE LIMITED Under PMA,,0.0,,MSE,MAXWELL MULTISERVICES & CONSTRUCTIONS,False
9323261,National Services and Manpower Supply Under PMA,,0.0,,MSE,NATIONAL SERVICES AND MANPOWER SUPPLY,False
9323261,NEGIE INFOTECH Under PMA,,0.0,,MSE,NEGIE INFOTECH,False
9323261,New Tiger Security Services Under PMA,,0.0,,MSE,NEW TIGER SECURITY SERVICES,False
9323261,NISHIDA AGENCY Under PMA,,0.0,,,NISHIDA AGENCY,False
9323261,NOKN INDIA PRIVATE LIMITED Under PMA,,0.0,,MSE,NOKN INDIA,False
9323261,OJN FACILITIES PRIVATE LIMITED Under PMA,,0.0,,MSE,OJN FACILITIES,False
9323261,OM SHREE PAWANPUTRA SERVICES Under PMA,,0.0,,MSE,OM SHREE PAWANPUTRA SERVICES,False
9323261,OMILA MAHABALA ANANTA PRIVATE LIMITED Under PMA,,0.0,,MSE,OMILA MAHABALA ANANTA,False
9323261,ONE SOLUTION Under PMA,,0.0,,MSE,ONE SOLUTION,False
9323261,PARI MANPOWER ENTERPRISES (OPC) PRIVATE LIMITED Under PMA,,0.0,,MSE,PARI MANPOWER ENTERPRISES (OPC,False
9323261,PARV TRADERS Under PMA,,0.0,,MSE,PARV TRADERS,False
9323261,PHR ENTERPRISES Under PMA,,0.0,,MSE,PHR ENTERPRISES,False
9323261,Pihu Manpower Service Under PMA,,0.0,,MSE,PIHU MANPOWER SERVICE,False
9323261,PINK RIDER PRIVATE LIMITED Under PMA,,0.0,,MSE,PINK RIDER,False
9323261,PLANET SECURITY PRIVATE LIMITED Under PMA,,0.0,,MSE,PLANET SECURITY,False
9323261,PLAYMATE OUTSOURCING SERVICES PRIVATE LIMITED Under PMA,,0.0,,MSE,PLAYMATE OUTSOURCING SERVICES,False
9323261,PM SERVICES Under PMA,,0.0,,MSE,PM SERVICES,False
9323261,PMS INT BHATTHA Under PMA,,0.0,,MSE,PMS INT BHATTHA,False
9323261,PR ASSOCIATE Under PMA,,0.0,,MSE,PR ASSOCIATE,False
9323261,PRAKASHTAM SECURITY & FACILITY PRIVATE LIMITED Under PMA,,0.0,,MSE,PRAKASHTAM SECURITY & FACILITY,False
9323261,PREEKSHIT MANPOWER PRIVATE LIMITED Under PMA,,0.0,,MSE,PREEKSHIT MANPOWER,False
9323261,PRITHVI MANPOWER SOLUTIONS PRIVATE LIMITED Under PMA,,0.0,,MSE,PRITHVI MANPOWER SOLUTIONS,False
9323261,PROHIRE ELITE ENTERPRISES LLP Under PMA,,0.0,,MSE,PROHIRE ELITE ENTERPRISES LLP,False
9323261,PUNJAB SERVICE AGENCY Under PMA,,0.0,,,PUNJAB SERVICE AGENCY,False
9323261,R J PRIME SERVICES Under PMA,,0.0,,MSE,R J PRIME SERVICES,False
9323261,R K ENTERPRISES Under PMA,,0.0,,MSE,R K ENTERPRISES,False
9323261,R M ENTERPRISES Under PMA,,0.0,,MSE,R M ENTERPRISES,False
9323261,R.V.ENTERPRISE Under PMA,,0.0,,MSE,R.V.ENTERPRISE,False
9323261,RAJENDRA  TIWARI CONTRACTOR Under PMA,,0.0,,,RAJENDRA TIWARI CONTRACTOR,False
9323261,RAJNAR EMPOWERMENT SERVICES Under PMA,,0.0,,,RAJNAR EMPOWERMENT SERVICES,False
9323261,RAPID SERVICES AGENCY Under PMA,,0.0,,,RAPID SERVICES AGENCY,False
9323261,Ravi Enterprises Under PMA,,0.0,,MSE,RAVI ENTERPRISES,False
9323261,RAVLEEN SECURITY PRIVATE LIMITED Under PMA,,0.0,,MSE,RAVLEEN SECURITY,False
9323261,Rawat G and R Associates Under PMA,,0.0,,MSE,RAWAT G AND R ASSOCIATES,False
9323261,RIDHISIDHI TEAM SOLUTIONS Under PMA,,0.0,,MSE,RIDHISIDHI TEAM SOLUTIONS,False
9323261,RM ENTERPRISES Under PMA,,0.0,,MSE,RM ENTERPRISES,False
9323261,ROHHIT ENTERPRISES Under PMA,,0.0,,MSE,ROHHIT ENTERPRISES,False
9323261,ROMAN SEVEN SECURITY PRIVATE LIMITED Under PMA,,0.0,,,ROMAN SEVEN SECURITY,False
9323261,ROYAL DIGITAL SOLUTIONS Under PMA,,0.0,,MSE,ROYAL DIGITAL SOLUTIONS,False
9323261,RPY MANPOWER SOLUTION PRIVATE LIMITED Under PMA,,0.0,,MSE,RPY MANPOWER SOLUTION,False
9323261,RRPERFECT SECURITY SERVICES INDIA PRIVATE LIMITED Under PMA,,0.0,,MSE,RRPERFECT SECURITY SERVICES INDIA,False
9323261,RS ENTERPRISE Under PMA,,0.0,,MSE,RS ENTERPRISE,False
9323261,SADHNA SECURITY SERVICES Under PMA,,0.0,,MSE,SADHNA SECURITY SERVICES,False
9323261,Sai A1 Services Under PMA,,0.0,,,SAI A1 SERVICES,False
9323261,SAI PTP SOLUTIONS LLP Under PMA,,0.0,,MSE,SAI PTP SOLUTIONS LLP,False
9323261,SAMRAT SECURITY SERVICES PRIVATE LIMITED Under PMA,,0.0,,MSE,SAMRAT SECURITY SERVICES,False
9323261,SAMRIDHI GREEN FORCE PRIVATE LIMITED Under PMA,,0.0,,,SAMRIDHI GREEN FORCE,False
9323261,SARSP TECH SERVICES PRIVATE LIMITED Under PMA,,0.0,,MSE,SARSP TECH SERVICES,False
9323261,SEBUSHI SERVICES PRIVATE LIMITED Under PMA,,0.0,,MSE,SEBUSHI SERVICES,False
9323261,SECURITY AND INTELLIGENCE SERVICES BUREAU Under PMA,,0.0,,,SECURITY AND INTELLIGENCE SERVICES BUREAU,False
9323261,SHAMMI MITTAL Under PMA,,0.0,,,SHAMMI MITTAL,False
9323261,SHANKARMEERA SR SERVICES PRIVATE LIMITED Under PMA,,0.0,,,SHANKARMEERA SR SERVICES,False
9323261,SHERWOOD SECURITY & MANPOWER SERVICES PRIVATE LIMITED Under PMA,,0.0,,MSE,SHERWOOD SECURITY & MANPOWER SERVICES,False
9323261,SHIVARCHITA MANPOWER SERVICES PRIVATE LIMITED Under PMA,,0.0,,MSE,SHIVARCHITA MANPOWER SERVICES,False
